PHZadded,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,psoralen,transfer,2,SWV,10,1143.45,-0.213,75,i1,7.8807057e-7,7.8807057e-7,-0.04,4.8956468e-7,4.8956468e-7,2.9850588999999996e-7,GC,1142.9166666666667,-0.399,133.33363,i2,1.0087645e-8,1.0087645e-8,-0.217,72.666634,5.8086909e-9,5.8086909e-9,4.2789541e-9
75uM,psoralen,transfer,2,SWV,11,1146.1166666666666,-0.216,75,i1,7.8726691e-7,7.8726691e-7,-0.038,4.973059e-7,4.973059e-7,2.8996101e-7,GC,1145.8833333333334,-0.397,132.66698,i2,9.3787795e-9,9.3787795e-9,-0.218,72.999969,5.5914695e-9,5.5914695e-9,3.78731e-9
75uM,psoralen,transfer,2,SWV,12,1149.3,-0.213,75,i1,7.6028988e-7,7.6028988e-7,-0.045,4.883434e-7,4.883434e-7,2.7194647999999993e-7,GC,1148.5833333333333,-0.391,130.66701,i2,9.3726342e-9,9.3726342e-9,-0.218,72.999969,5.6064788e-9,5.6064788e-9,3.7661553999999995e-9
75uM,psoralen,transfer,2,SWV,13,1152.0166666666667,-0.212,75,i1,7.6480922e-7,7.6480922e-7,-0.039,4.9559964e-7,4.9559964e-7,2.692095799999999e-7,GC,1151.7666666666667,-0.39,130.33368,i2,8.7189607e-9,8.7189607e-9,-0.182,60.999912,5.6504432e-9,5.6504432e-9,3.0685174999999993e-9
75uM,psoralen,transfer,2,SWV,14,1154.7,-0.214,75,i1,7.4673994e-7,7.4673994e-7,-0.052,4.8538914e-7,4.8538914e-7,2.613508e-7,GC,1154.4333333333334,-0.398,133.00031,i2,7.2940218e-9,7.2940218e-9,-0.217,72.666634,5.0459343e-9,5.0459343e-9,2.2480875000000003e-9
75uM,psoralen,transfer,2,SWV,15,1157.4166666666667,-0.22,75,i1,7.4046631e-7,7.4046631e-7,-0.033,4.9419498e-7,4.9419498e-7,2.4627133000000005e-7,GC,1157.1166666666666,-0.399,133.33363,i2,7.2123574e-9,7.2123574e-9,-0.221,73.999977,5.0137881e-9,5.0137881e-9,2.1985693000000004e-9
75uM,psoralen,transfer,2,SWV,1,1118.0666666666666,-0.218,75,i1,1.8418094e-6,1.8418094e-6,-0.015,5.0431225e-7,5.0431225e-7,1.3374971500000001e-6,GC,1117.7333333333333,-0.39,130.33368,i2,1.1399026e-7,1.1399026e-7,-0.183,61.333244,2.1149626e-8,2.1149626e-8,9.2840634e-8
75uM,psoralen,transfer,2,SWV,2,1120.8333333333333,-0.216,75,i1,1.370342e-6,1.370342e-6,-0.035,5.0226737e-7,5.0226737e-7,8.680746299999999e-7,GC,1120.55,-0.399,133.33363,i2,5.148782e-8,5.148782e-8,-0.192,64.333237,1.2767458e-8,1.2767458e-8,3.8720362e-8
75uM,psoralen,transfer,2,SWV,3,1123.55,-0.218,75,i1,1.1514212e-6,1.1514212e-6,-0.026,5.0016922e-7,5.0016922e-7,6.512519799999999e-7,GC,1123.3,-0.397,132.66698,i2,3.2088341e-8,3.2088341e-8,-0.195,65.333244,9.9512611e-9,9.9512611e-9,2.2137079900000002e-8
75uM,psoralen,transfer,2,SWV,4,1126.25,-0.214,75,i1,1.0454129e-6,1.0454129e-6,-0.031,4.9583326e-7,4.9583326e-7,5.495796399999999e-7,GC,1126.0166666666667,-0.39,130.33368,i2,2.5487434e-8,2.5487434e-8,-0.2,66.999924,9.0585024e-9,9.0585024e-9,1.64289316e-8
