# DNA modified electrode Data by Edmund Tse. 
# The third CV cycle for electrodes with well matched (wm) or mismatched (mm) duplex DNA,
# under aerobic or anaerobic conditions, and with or without PCN covalently attached.
E,Current,Construct,Aerobic,PCN
-0.445,5.85E-07,wm,TRUE,TRUE
-0.444,5.78E-07,wm,TRUE,TRUE
-0.443,5.70E-07,wm,TRUE,TRUE
-0.442,5.62E-07,wm,TRUE,TRUE
-0.441,5.55E-07,wm,TRUE,TRUE
-0.44,5.47E-07,wm,TRUE,TRUE
-0.439,5.39E-07,wm,TRUE,TRUE
-0.438,5.32E-07,wm,TRUE,TRUE
-0.437,5.25E-07,wm,TRUE,TRUE
-0.436,5.17E-07,wm,TRUE,TRUE
-0.435,5.10E-07,wm,TRUE,TRUE
-0.434,5.03E-07,wm,TRUE,TRUE
-0.433,4.95E-07,wm,TRUE,TRUE
-0.432,4.88E-07,wm,TRUE,TRUE
-0.431,4.81E-07,wm,TRUE,TRUE
-0.43,4.74E-07,wm,TRUE,TRUE
-0.429,4.68E-07,wm,TRUE,TRUE
-0.428,4.61E-07,wm,TRUE,TRUE
-0.427,4.54E-07,wm,TRUE,TRUE
-0.426,4.47E-07,wm,TRUE,TRUE
-0.425,4.41E-07,wm,TRUE,TRUE
-0.424,4.35E-07,wm,TRUE,TRUE
-0.423,4.28E-07,wm,TRUE,TRUE
-0.422,4.22E-07,wm,TRUE,TRUE
-0.421,4.16E-07,wm,TRUE,TRUE
-0.42,4.10E-07,wm,TRUE,TRUE
-0.419,4.03E-07,wm,TRUE,TRUE
-0.418,3.97E-07,wm,TRUE,TRUE
-0.417,3.91E-07,wm,TRUE,TRUE
-0.416,3.85E-07,wm,TRUE,TRUE
-0.415,3.80E-07,wm,TRUE,TRUE
-0.414,3.74E-07,wm,TRUE,TRUE
-0.413,3.68E-07,wm,TRUE,TRUE
-0.412,3.63E-07,wm,TRUE,TRUE
-0.411,3.57E-07,wm,TRUE,TRUE
-0.41,3.51E-07,wm,TRUE,TRUE
-0.409,3.46E-07,wm,TRUE,TRUE
-0.408,3.40E-07,wm,TRUE,TRUE
-0.407,3.35E-07,wm,TRUE,TRUE
-0.406,3.30E-07,wm,TRUE,TRUE
-0.405,3.25E-07,wm,TRUE,TRUE
-0.404,3.20E-07,wm,TRUE,TRUE
-0.403,3.15E-07,wm,TRUE,TRUE
-0.402,3.10E-07,wm,TRUE,TRUE
-0.401,3.05E-07,wm,TRUE,TRUE
-0.4,3.00E-07,wm,TRUE,TRUE
-0.399,2.95E-07,wm,TRUE,TRUE
-0.398,2.90E-07,wm,TRUE,TRUE
-0.397,2.86E-07,wm,TRUE,TRUE
-0.396,2.81E-07,wm,TRUE,TRUE
-0.395,2.76E-07,wm,TRUE,TRUE
-0.394,2.72E-07,wm,TRUE,TRUE
-0.393,2.68E-07,wm,TRUE,TRUE
-0.392,2.63E-07,wm,TRUE,TRUE
-0.391,2.59E-07,wm,TRUE,TRUE
-0.39,2.54E-07,wm,TRUE,TRUE
-0.389,2.50E-07,wm,TRUE,TRUE
-0.388,2.46E-07,wm,TRUE,TRUE
-0.387,2.42E-07,wm,TRUE,TRUE
-0.386,2.38E-07,wm,TRUE,TRUE
-0.385,2.34E-07,wm,TRUE,TRUE
-0.384,2.30E-07,wm,TRUE,TRUE
-0.383,2.26E-07,wm,TRUE,TRUE
-0.382,2.22E-07,wm,TRUE,TRUE
-0.381,2.18E-07,wm,TRUE,TRUE
-0.38,2.14E-07,wm,TRUE,TRUE
-0.379,2.11E-07,wm,TRUE,TRUE
-0.378,2.07E-07,wm,TRUE,TRUE
-0.377,2.03E-07,wm,TRUE,TRUE
-0.376,2.00E-07,wm,TRUE,TRUE
-0.375,1.96E-07,wm,TRUE,TRUE
-0.374,1.93E-07,wm,TRUE,TRUE
-0.373,1.89E-07,wm,TRUE,TRUE
-0.372,1.86E-07,wm,TRUE,TRUE
-0.371,1.82E-07,wm,TRUE,TRUE
-0.37,1.79E-07,wm,TRUE,TRUE
-0.369,1.76E-07,wm,TRUE,TRUE
-0.368,1.73E-07,wm,TRUE,TRUE
-0.367,1.70E-07,wm,TRUE,TRUE
-0.366,1.66E-07,wm,TRUE,TRUE
-0.365,1.63E-07,wm,TRUE,TRUE
-0.364,1.60E-07,wm,TRUE,TRUE
-0.363,1.57E-07,wm,TRUE,TRUE
-0.362,1.54E-07,wm,TRUE,TRUE
-0.361,1.51E-07,wm,TRUE,TRUE
-0.36,1.48E-07,wm,TRUE,TRUE
-0.359,1.46E-07,wm,TRUE,TRUE
-0.358,1.43E-07,wm,TRUE,TRUE
-0.357,1.40E-07,wm,TRUE,TRUE
-0.356,1.37E-07,wm,TRUE,TRUE
-0.355,1.35E-07,wm,TRUE,TRUE
-0.354,1.32E-07,wm,TRUE,TRUE
-0.353,1.29E-07,wm,TRUE,TRUE
-0.352,1.27E-07,wm,TRUE,TRUE
-0.351,1.25E-07,wm,TRUE,TRUE
-0.35,1.22E-07,wm,TRUE,TRUE
-0.349,1.20E-07,wm,TRUE,TRUE
-0.348,1.18E-07,wm,TRUE,TRUE
-0.347,1.15E-07,wm,TRUE,TRUE
-0.346,1.13E-07,wm,TRUE,TRUE
